"Nr.";"Anrede";"Titel";"Vorname";"Nachname";"Geburtsdatum";"Straße";"Hausnummer";"Postleitzahl";"Stadt";"Telefon";"Mobil";"Telefax";"EMail";"Newsletter";"Eintragsdatum"
"456";"Frau";"";"Marei";"Heym";"";"Oscar-Wilde-Straße";"114";"54523";"Dierscheid";"06508/81860208";"0160/8104388";"";"m-heym@live-mail.none";"nein";"04.08.2016"
"457";"Herr";"";"Mads";"Fehrmann";"";"Wilnsdorfer Straße";"52";"54673";"Ammeldingen";"06564/11048193";"0175/6594325";"";"mads.fehrmann@inter-mail.none";"";"09.04.1996"
"458";"Herr";"";"Jörg";"Mauel";"";"Danziger Weg";"101";"23818";"Neuengörs";"04550/38702119";"";"";"j-mauel@inter-mail.none";"";"11.10.2001"
"459";"k.A.";"";"Madleine";"Mehringer";"";"Weitscheidter Straße";"135";"87629";"Füssen";"08362/21694536";"0167/4299588";"";"mmehringer@xyz.none";"";"23.10.1975"
"460";"Herr";"";"Volkhart";"Black";"";"Eisenweg";"102";"79211";"Denzlingen";"07666/25524307";"0161/2460093";"";"volkhart-black@ultramail.none";"";"10.05.2007"
"461";"Frau";"";"Verona";"Johnston";"";"Eschersheimer Landstraße";"151";"27404";"Gyhum";"";"0172/8603819";"";"v-johnston@email.none";"ja";"10.09.2003"
"462";"Frau";"";"Kathi";"Roloff";"10.07.1940";"Am Neumarkt";"99";"47802";"Krefeld";"";"";"";"kathi_roloff@private.none";"";"14.08.2008"
"463";"Frau";"";"Trauthilde";"Bleck";"";"Obertalstraße";"109";"49751";"Hüven";"05952/28371366";"0168/7751222";"";"tbleck@private.none";"";"04.02.2022"
"464";"Frau";"";"Leandra";"Elbers";"";"Kössener Straße";"108";"65550";"Limburg an der Lahn";"06431/85144505";"0161/5182288";"";"leandra.elbers@goggle-mail.none";"";"26.06.1967"
"465";"Herr";"";"Hansjakob";"Günter";"";"In der Flesch";"113";"56291";"Lingerhahn";"06747/19678670";"0170/4369289";"";"hansjakob_guenter@email.none";"";"24.10.1972"
"466";"Frau";"";"Madeleine";"Eilts";"";"Dachsweg";"58";"89443";"Schwenningen";"";"0170/2478468";"";"madeleine_eilts@ultramail.none";"ja";"12.01.2013"
"467";"Frau";"Dr.";"Hannemarie";"Broll";"";"Schürmannstraße";"143";"84169";"Altfraunhofen";"08705/47519398";"0170/2462176";"";"hannemarie.broll@mymail.none";"ja";"13.12.1985"
"468";"Frau";"";"Lili";"Keiser";"";"Werlo";"114";"67273";"Weisenheim am Berg";"06353/84328005";"0176/5839051";"";"lili-keiser@bestmail.none";"ja";"20.01.1995"
"469";"Frau";"";"Haralda";"Ehrhard";"";"Siegburger Straße";"96";"27246";"Borstel";"04276/72564630";"0152/7511671";"";"";"nein";"31.03.1983"
"470";"Frau";"";"Helene";"Toth";"";"Türmchenstraße";"102";"53534";"Bauler";"02691/66043254";"0168/3495541";"02691/38810092";"helene-toth@bestmail.none";"ja";"07.05.2009"
"471";"Frau";"";"Adeltraut";"Paus";"";"Campingplatz Theresienhöhe";"44";"93188";"Pielenhofen";"";"0174/3792693";"";"apaus@spam-mail.none";"";"30.09.1919"
"472";"Herr";"";"Hansjörn";"Linhart";"";"Königstraße";"132";"89347";"Bubesheim";"08221/63876159";"";"";"hansjoern.linhart@live-mail.none";"ja";"29.05.2018"
"473";"Frau";"";"Ula";"Karge";"";"Siedenberger Straße";"181";"23847";"Düchelsdorf";"04544/40549320";"";"";"u.1990@retromail.none";"nein";"12.11.1992"
"474";"Frau";"";"Heidemaria";"Hannig";"02.08.1923";"Gerichtstraße";"84";"49401";"Damme";"05491/78332454";"0174/7734602";"05491/19110640";"";"";"21.01.2004"
"475";"Frau";"";"Birgitta";"Eckert";"";"Im Dorf";"66";"53175";"Bonn";"0228/97739771";"0151/5037574";"";"birgittaeckert@live-mail.none";"";"03.04.1933"
"476";"Frau";"";"Stefani";"Pesch";"";"Hindenburgplatz";"12";"66453";"Gersheim";"";"0158/2413923";"06843/51501474";"";"";"12.03.2007"
"477";"Herr";"";"Wilhardt";"Krabbe";"07.12.2011";"Mittelhofer Straße";"154";"53902";"Bad Münstereifel";"02253/48113322";"0161/1479986";"";"wilhardt-krabbe@live-mail.none";"nein";"13.02.2017"
"478";"Herr";"";"Ekkehard";"Zachmann";"";"Am Halloh";"15";"74343";"Sachsenheim";"";"0167/3755131";"";"";"";"25.06.2005"
"479";"Herr";"";"Volkard";"Krohne";"";"Auf dem Domacker";"45";"89365";"Röfingen";"08222/68755441";"0173/6136512";"";"volkard.krohne@mymail.none";"ja";"20.02.2004"
"480";"Herr";"";"Otmar";"Iffland";"";"Ossenkampstiege";"181";"84172";"Buch am Erlbach";"";"0169/5397989";"";"otmariffland@email.none";"";"08.10.2020"
"481";"Frau";"";"Veronica";"Raith";"";"Lohmannskath";"44";"56459";"Ailertchen";"02663/61424081";"0167/6924335";"";"veronica_04@company.none";"ja";"12.10.2006"
"482";"Frau";"";"Amy";"Schöttler";"";"Zum Scharfenstein";"154";"46397";"Bocholt";"02871/73724288";"0170/7465807";"";"";"ja";"21.09.2022"
"483";"Herr";"";"Nikolas";"Tabbert";"10.07.1905";"Karl-Kaufmann-Weg";"3";"74177";"Bad Friedrichshall";"07136/94190065";"0178/3934775";"";"";"ja";"09.11.1936"
"484";"Herr";"";"Winrich";"Epping";"02.06.1917";"Hömberger Weg";"82";"55546";"Tiefenthal";"0671/97084234";"";"";"winrich_epping@funmail.none";"ja";"31.05.1921"
"485";"Herr";"";"Kian";"Kopf";"";"Auf dem Balkert";"87";"55608";"Schneppenbach";"06752/60029646";"0169/6829930";"";"";"";"03.11.2022"
"486";"Herr";"";"Gereon";"Christ";"";"Jan-de-Beyer-Straße";"131";"72516";"Scheer";"";"0177/6681762";"";"gereon_1940@company.none";"";"20.04.1950"
"487";"Frau";"";"Juliane";"Hübenthal";"";"Remser Weg";"121";"50939";"Köln";"0221/28506454";"0176/7513104";"";"juliane1930@xyz.none";"";"02.05.2014"
"488";"Herr";"";"Bodomar";"Gietl";"";"Leonhardstraße";"177";"85104";"Pförring";"08403/10590190";"";"";"bodomar.gietl@net-mail.none";"ja";"10.06.2010"
"489";"Frau";"";"Ehrentraut";"Wilmes";"";"Im Kühstiefel";"197 c";"56414";"Wallmerod";"06435/95336842";"0173/8400198";"";"e-2005@kitty.none";"ja";"08.07.2009"
"490";"Herr";"";"Hilfried";"Waldmann";"";"Lange Gasse";"69";"55494";"Benzweiler";"06764/7560489";"0159/6383023";"";"h-waldmann@spam-mail.none";"nein";"30.04.1959"
"491";"Herr";"";"Eckart";"Stachowiak";"19.01.1922";"Jungfrauenthal";"63";"24616";"Sarlhusen";"04822/20009430";"0155/7323996";"";"estachowiak@live-mail.none";"";"07.08.1925"
"492";"Herr";"";"Rezzo";"Jungermann";"03.06.2020";"Dahler Straße";"180";"84439";"Steinkirchen";"08084/51060794";"";"";"";"";"18.02.2021"
"493";"Herr";"";"Sepp";"Thoma";"";"Harschbacher Straße";"74";"38228";"Salzgitter";"05341/86942994";"0155/9880819";"";"sepp_thoma@inter-mail.none";"";"26.04.2013"
"494";"Frau";"Prof.";"Ermelinde";"Rieth";"";"In Saarburg";"138";"24340";"Goosefeld";"04351/18198862";"0168/6569237";"04351/44016320";"ermelinde_2017@web.none";"";"21.01.2018"
"495";"Herr";"";"Yannik";"Kant";"";"Im Gänsstück";"107";"49479";"Ibbenbüren";"05451/87740714";"";"";"yannik-kant@mymail.none";"";"18.02.2018"
"496";"Frau";"";"Jessika";"Reeb";"";"Danzigstraße";"108";"76891";"Bobenthal";"06394/97959152";"0158/1324612";"";"jreeb@quickmail.none";"";"06.08.2006"
"497";"Herr";"";"Eberhard";"Bunzel";"17.10.1906";"Am Kirchholz";"187";"79252";"Stegen";"07661/53163597";"";"";"e-bunzel@domain.none";"";"17.08.1924"
"498";"Frau";"";"Daniela";"Markmann";"";"Bärenacker";"98";"67308";"Bubenheim";"06351/79510363";"0174/2044264";"";"d_markmann@domain.none";"";"26.03.2006"
"499";"Herr";"";"Michel";"Heß";"";"Schmiesheide";"140";"78607";"Talheim";"";"0179/8853646";"";"";"ja";"08.04.2018"
"500";"Herr";"";"Wernhard";"Dillmann";"";"Elzerhöfe";"92";"71334";"Waiblingen";"07151/96881704";"";"";"w_dillmann@net-mail.none";"ja";"28.10.1986"
"501";"Herr";"";"Enrico";"Rauen";"";"Königsfelder Straße";"100";"84494";"Lohkirchen";"08637/77758301";"0158/9123170";"";"enrico-rauen@domain.none";"";"04.04.2008"
"502";"Herr";"";"Sigfrid";"Wiesel";"";"Uessbachstraße";"152";"54673";"Heilbach";"06564/68367483";"0161/8937595";"";"sigfrid.wiesel@goggle-mail.none";"";"24.01.2012"
"503";"Herr";"";"Siegfried";"Ranft";"";"Schillerweg";"132";"61279";"Grävenwiesbach";"06086/17791322";"0175/7755215";"";"s-ranft@xyz.none";"ja";"03.10.2022"
"504";"Frau";"";"Kyra";"Balle";"";"Kesselinger Straße";"18";"27616";"Stubben";"04747/67266127";"0152/7077045";"";"";"";"29.12.1992"
"505";"Herr";"Prof. Dr.";"Eckfried";"Henkelmann";"";"Hubaleck-Siedlung";"62c";"37073";"Göttingen";"";"0164/6564292";"0551/57544215";"eckfried-henkelmann@mymail.none";"";"28.12.1948"
"506";"k.A.";"";"Guido";"Fuss";"";"Am Graben";"137";"73240";"Wendlingen am Neckar";"07024/37717757";"0160/3851220";"";"guido.1994@kitty.none";"";"09.06.2015"
"507";"k.A.";"";"Dagomar";"Barg";"";"Stiftstraße";"97";"57489";"Drolshagen";"02761/37955119";"0161/5868999";"";"dagomarbarg@live-mail.none";"";"01.07.1988"
"508";"Frau";"";"Lotte";"Schneller";"03.10.1909";"August-Schmidt-Straße";"25";"29352";"Adelheidsdorf";"05085/10190001";"0172/5328794";"";"lotte_schneller@ultramail.none";"";"03.09.1967"
"509";"Herr";"";"Gundhart";"Wilczek";"";"Plaidterwegsrest";"104";"91632";"Wieseth";"09822/50367462";"0161/2172691";"";"gundhart.wilczek@inter-mail.none";"ja";"10.05.1968"
"510";"k.A.";"";"Rosehilde";"Wegert";"";"De-Noel-Platz";"158";"50679";"Köln";"0221/92952539";"0172/7883985";"";"rosehilde_1942@kitty.none";"";"21.11.2017"
"511";"Frau";"";"Heiderose";"Michaelsen";"";"Alfred-Nobel-Straße";"95";"54608";"Winterscheid";"06551/2318644";"";"06551/91525002";"";"";"27.02.1981"
"512";"Frau";"";"Franka";"Hoang";"";"Kreuzberger Straße";"112 b";"46240";"Bottrop";"";"0156/2657558";"";"franka-hoang@spam-mail.none";"";"29.11.2016"
"513";"k.A.";"";"Rosie";"Schimmelpfennig";"";"Leostraße";"46";"24944";"Flensburg";"0461/36657264";"";"";"r.64@bestmail.none";"";"16.01.2012"
"514";"Herr";"";"Volkher";"Evans";"";"Heidenburgstraße";"135";"88142";"Wasserburg";"08382/98215722";"";"";"v.evans@email.none";"";"08.12.2005"
"515";"Herr";"";"Reinwald";"Lenz";"";"Eupener Straße";"87";"50829";"Köln";"0221/42990385";"0155/5328914";"";"reinwald-lenz@open-mail.none";"";"17.01.1938"
"516";"Frau";"";"Maritta";"Schlotter";"";"Im Plenter";"133";"66271";"Kleinblittersdorf";"06805/13949400";"0150/9861910";"";"marittaschlotter@bestmail.none";"";"17.01.1981"
"517";"Frau";"";"Celia";"Rützel";"26.12.1902";"Karl-Schloemer-Straße";"192";"67294";"Mauchenheim";"06731/33704886";"0179/4902427";"06731/49117555";"c.ruetzel@live-mail.none";"";"25.11.1993"
"518";"Frau";"";"Rebekka";"Ottersbach";"26.05.1922";"Gänsweiherweg";"81";"23858";"Reinfeld";"04533/55901351";"";"";"rebekka-ottersbach@ultramail.none";"";"26.05.1925"
"519";"Frau";"";"Ilsabe";"Krieger";"";"Parallelstraße";"136";"48480";"Lünne";"05906/20995279";"0157/6942568";"";"ilsabe.krieger@spam-mail.none";"";"27.08.1951"
"520";"Frau";"";"Giesela";"Plagemann";"";"Märchenweg";"100";"67582";"Mettenheim";"";"0156/2014573";"";"giesela.29@ultramail.none";"";"20.09.1942"
"521";"Herr";"";"Wunnibald";"Kost";"18.04.1979";"Alter Hof";"154";"79589";"Binzen";"07621/34490157";"";"";"wunnibald_79@retromail.none";"";"20.02.2021"
"522";"Herr";"";"Jens";"Manz";"";"Longbentonstraße";"18 c";"57629";"Kirburg";"02661/48955591";"0176/7126263";"";"jens.manz@hoster.none";"ja";"21.09.1966"
"523";"Herr";"";"Notker";"Greve";"18.07.1911";"Willbecker Straße";"9";"45139";"Essen";"0201/88556760";"0168/4383661";"0201/50398292";"notker_greve@domain.none";"";"28.07.1920"
"524";"Frau";"";"Annegret";"Cakmak";"";"Wetkampstraße";"197";"88279";"Amtzell";"";"0177/9711795";"";"annegret.cakmak@xyz.none";"ja";"24.01.1920"
"525";"Herr";"";"Sighelm";"Hegele";"";"Grevener Straße";"187";"27721";"Ritterhude";"";"0168/3146841";"";"sighelm.hegele@mymail.none";"";"26.06.2005"
"526";"Frau";"";"Stefani";"Berg";"";"Koberner Weg";"16";"55257";"Budenheim";"06139/33539742";"0177/3131824";"";"s-berg@web.none";"ja";"22.07.2021"
"527";"Frau";"";"Roselind";"Reinhard";"";"Am Frohnberg";"47";"54614";"Dingdorf";"06553/98924180";"";"";"rreinhard@open-mail.none";"";"20.03.2010"
"528";"Frau";"";"Susen";"Isik";"";"Ahauser Straße";"186";"25869";"Gröde";"04844/84590413";"0175/9167770";"";"s_isik@retromail.none";"";"02.06.2020"
"529";"Herr";"Dr.";"Ekhard";"Bösche";"";"Carl-Sonnenschein-Straße";"27";"66606";"Sankt Wendel";"06851/46781470";"";"";"ekhard_21@goggle-mail.none";"nein";"23.05.2022"
"530";"Frau";"";"Sinah";"Kuttler";"";"Grootensweg";"162";"86564";"Brunnen";"";"0176/2108310";"";"skuttler@xyz.none";"ja";"08.01.1988"
"531";"Herr";"";"Helwart";"Kimpel";"17.05.1998";"Stachstückstraße";"22";"67271";"Neuleiningen";"06359/8951606";"0170/9566372";"";"h.98@funmail.none";"ja";"26.06.2020"
"532";"Herr";"";"Oliver";"Mergel";"";"Laßportstraße";"62";"88480";"Achstetten";"07392/24375958";"0174/6772122";"";"oliver_mergel@company.none";"nein";"06.12.2019"
"533";"Frau";"";"Irmfriede";"Manthei";"";"Hermann-Hesse-Weg";"175";"97775";"Burgsinn";"09356/3169397";"";"";"irmfriedemanthei@open-mail.none";"";"23.06.1997"
"534";"Herr";"";"Siegert";"Jasper";"";"Scheßlitzer Weg";"85";"73614";"Schorndorf";"";"0165/7064355";"";"siegert53@spam-mail.none";"ja";"05.06.1975"
"535";"Frau";"";"Ilseruth";"Ristow";"25.12.1921";"Am Kirchgarten";"66";"46562";"Voerde";"02855/38894780";"";"";"iristow@net-mail.none";"nein";"09.11.2006"
"536";"Herr";"";"Romanus";"Bohlmann";"";"Hallbergstraße";"128";"35799";"Merenberg";"06471/71958646";"0179/7784310";"";"r_1964@open-mail.none";"ja";"10.05.2006"
"537";"Frau";"";"Brigitta";"Harmon";"";"Reifferscheider Straße";"23";"06528";"Holdenstedt";"";"0176/7399476";"";"brigitta.harmon@domain.none";"";"21.11.1985"
"538";"Herr";"";"Hugo";"Schumm";"";"Niederhof";"86";"61350";"Bad Homburg vor der Höhe";"06172/81080568";"0164/3521166";"";"hugo.schumm@justmail.none";"";"02.07.1978"
"539";"Frau";"Dr.";"Gundula";"Polte";"";"Große Breite";"145";"56244";"Goddert";"02626/47640220";"0153/7444661";"";"";"";"28.09.1969"
"540";"k.A.";"";"Burga";"Babel";"";"Lehmkuhle";"128";"67157";"Wachenheim an der Weinstraße";"06322/21943667";"0151/5609849";"";"burga1905@goggle-mail.none";"";"27.12.1962"
"541";"Frau";"";"Marianne";"Preuße";"";"Bahnhofsallee";"189";"66346";"Püttlingen";"06898/95306215";"";"";"marianne-preusse@email.none";"";"13.08.1985"
"542";"Herr";"";"Borwin";"Holtkamp";"27.06.1940";"Kleiner Ring";"50";"54427";"Kell am See";"06589/43242299";"";"";"borwin-holtkamp@kitty.none";"ja";"27.10.1951"
"543";"Frau";"";"Gunda";"Philipps";"";"Kümper";"146";"91286";"Obertrubach";"09245/90981033";"";"";"";"ja";"03.10.2020"
"544";"Herr";"";"Benjamin";"Kade";"";"Am Heidchen";"102";"56457";"Westerburg";"02663/82230706";"0167/3496279";"";"benjamin_2018@open-mail.none";"";"25.01.2023"
"545";"Frau";"";"Edeltrudis";"Kimpel";"";"Am Mühlenteich";"85";"54597";"Lascheid";"";"";"";"edeltrudiskimpel@domain.none";"ja";"09.08.1965"
"546";"Frau";"";"Gina";"Geib";"";"Feldstraße";"98";"37627";"Arholzen";"05532/95684915";"";"05532/55032546";"g-geib@private.none";"nein";"20.09.2003"
"547";"Frau";"";"Undine";"Mühleisen";"11.03.2001";"Dr.-Domarus-Straße";"37";"67067";"Ludwigshafen am Rhein";"0621/13587942";"0152/8900422";"";"undine-2001@mymail.none";"";"08.08.2002"
"548";"Herr";"";"Sigmut";"Thurner";"";"Schönblick";"119";"25767";"Immenstedt";"04835/29129615";"0178/5787326";"";"sigmutthurner@validmail.none";"";"01.09.2022"
"549";"Frau";"";"Maike";"Weißhaar";"18.01.2019";"Schleidener Straße";"84";"56843";"Irmenach";"";"0178/2076813";"";"maike_19@retromail.none";"";"11.08.2020"
"550";"Frau";"";"Clementine";"Baumbach";"24.10.2005";"Kiebitzpohl";"20";"54636";"Dahlem";"06561/69576606";"0162/4599827";"";"clementinebaumbach@ultramail.none";"";"16.06.2009"
"551";"k.A.";"";"Wiegbert";"Braig";"";"Schnorrenberg";"18";"26835";"Neukamperfehn";"04950/803179";"0156/6102451";"";"wiegbert_braig@anymail.none";"";"14.12.2010"
"552";"k.A.";"";"Kathi";"Hofbauer";"";"Untere Wiesenstraße";"61";"55619";"Hennweiler";"06752/5600610";"0179/7851856";"";"khofbauer@xyz.none";"";"03.01.2018"
"553";"Frau";"";"Harda";"Sartorius";"";"Oranienburger Straße";"173";"54636";"Ingendorf";"06561/36618586";"0171/9824513";"";"hardasartorius@bestmail.none";"ja";"21.10.1948"
"554";"Frau";"";"Helmtrud";"Riemer";"";"Badenstedter Straße";"78";"67281";"Bissersheim";"06359/16771787";"";"";"";"ja";"20.04.2022"
"555";"Herr";"";"John";"Schwalm";"";"Zum Eichenhain";"104";"54533";"Niederöfflingen";"06572/24579605";"0155/7139862";"";"john-24@spam-mail.none";"ja";"04.06.1972"
"556";"Herr";"";"Marzel";"Kisters";"";"Waymannskath";"35";"25557";"Thaden";"";"";"";"";"ja";"14.11.1984"
"557";"Herr";"";"Volkbert";"Weide";"";"Langenbacher Straße";"56";"54534";"Karl";"";"0176/1126375";"";"vweide@mymail.none";"";"18.10.1977"
"558";"Frau";"";"Birge";"Mauch";"";"Bothenweg";"77";"48529";"Nordhorn";"05921/62974367";"";"";"";"";"05.11.1971"
"559";"Herr";"";"Töns";"Niebel";"";"Birkhofstraße";"103";"78662";"Bösingen";"07404/42716428";"0174/5890187";"";"toens-niebel@anymail.none";"";"19.05.2007"
"560";"Herr";"";"Andre";"Hellinger";"";"Sprockhöveler Straße";"98";"59457";"Werl";"02922/91616767";"";"";"";"";"01.04.2018"
"561";"Herr";"";"Willehad";"Spielmann";"19.03.1964";"Niedenstraße";"5";"56179";"Vallendar";"0261/43975059";"0163/7385421";"";"willehad_1964@live-mail.none";"ja";"30.05.1994"
"562";"Frau";"";"Ursula";"Wiesemann";"14.01.1958";"Giersberg";"16";"67752";"Oberweiler-Tiefenbach";"06304/36759251";"0166/1644264";"";"uwiesemann@funmail.none";"";"18.09.2012"
"563";"Frau";"";"Wendela";"Droste";"";"In der Blemke";"44";"93413";"Cham";"09971/85713624";"0150/7305066";"";"wendeladroste@open-mail.none";"nein";"22.12.2021"
"564";"k.A.";"";"Helma";"Dröge";"";"Rheinbacher Straße";"93";"24392";"Boren";"04641/55740143";"0151/9396794";"";"helmadroege@funmail.none";"";"20.07.2019"
"565";"Frau";"";"Hadwig";"Vöge";"";"Dalweg";"169";"21502";"Geesthacht";"04152/63014230";"0157/5294133";"";"";"ja";"22.03.2022"
"566";"Frau";"";"Karsta";"Zocher";"";"Heimkerweg";"154";"75179";"Pforzheim";"07231/53065582";"0178/9606810";"";"karsta.1939@bestmail.none";"";"07.07.1975"
"567";"Frau";"";"Gertrud";"Kulik";"";"Wachtendonker Straße";"65";"57629";"Kundert";"02662/48466093";"0175/5008088";"";"gertrud-kulik@kitty.none";"";"17.04.1999"
"568";"Frau";"";"Tina";"Seeber";"06.07.1993";"Vor dem Bruch";"173";"14480";"Potsdam";"0331/30490844";"0162/7960196";"0331/60817409";"tina.1993@retromail.none";"";"04.11.2003"
"569";"k.A.";"";"Sieghelm";"Lenger";"26.02.1980";"Brementhaler Straße";"124";"06526";"Sangerhausen";"03464/43292220";"";"";"sieghelm.lenger@goggle-mail.none";"ja";"06.08.1987"
"570";"Frau";"";"Christliebe";"Salazar";"";"Schützbitz";"32";"64579";"Schöfferstadt Gernsheim";"06258/66841413";"0167/2239053";"";"christliebe.salazar@ultramail.none";"";"06.07.1962"
"571";"Frau";"Dr.";"Diana";"Hof";"";"Kleinmaischeider Straße";"69 a";"63477";"Maintal";"06181/37715482";"0175/3388677";"";"d.15@inter-mail.none";"ja";"06.05.1985"
"572";"Frau";"Dr.";"Sighild";"Partsch";"";"Mohnweg";"179";"55234";"Hangen-Weisheim";"06244/19168489";"";"";"s.partsch@company.none";"ja";"11.12.2019"
"573";"Frau";"";"Karena";"Steinbrück";"";"Große Neue Straße";"199";"53721";"Siegburg";"02241/24674672";"";"";"";"ja";"09.06.1971"
"574";"Frau";"";"Melisande";"Rotter";"";"Sommerweg";"171";"24797";"Tackesdorf";"";"0168/1542814";"";"mrotter@funmail.none";"";"12.11.2008"
"575";"k.A.";"";"Lidwina";"Reinl";"";"Egenstraße";"70";"55595";"Braunweiler";"0671/79722852";"0156/4346770";"";"lidwina_reinl@ultramail.none";"";"09.10.2022"
"576";"Herr";"";"Eberhart";"Schunck";"";"Rheinweg";"72";"65582";"Diez";"06432/43265654";"0155/1514927";"";"eberhart-2017@trashmail.none";"";"26.04.2021"
"577";"Frau";"";"Friedegund";"Nikolic";"";"Nordstraße";"189";"19065";"Godern";"";"0170/4075090";"03866/76722284";"";"";"07.01.2012"
"578";"Frau";"";"Hadburg";"Schöpe";"";"Kurfürstenwiese";"141";"48480";"Lünne";"";"";"";"hadburg_47@domain.none";"ja";"07.01.1978"
"579";"Herr";"";"Yannis";"Vocke";"26.12.1989";"Hoffeldstraße";"100";"25474";"Ellerbek";"040/39499587";"0174/6810843";"";"yannisvocke@net-mail.none";"";"23.04.2011"
"580";"Herr";"";"Friedolin";"Prieß";"";"Rosenstraße";"122";"56357";"Oelsberg";"06772/58755791";"0177/4042675";"";"friedolin.priess@company.none";"";"26.10.2013"
"581";"Herr";"";"Erik";"Dresler";"";"Kurfürstenring";"150";"78737";"Fluorn-Winzeln";"07402/13419807";"";"";"erik-1939@justmail.none";"";"11.04.2005"
"582";"Herr";"";"Emre";"Lott";"";"Zum Ziegenbusch";"59";"56479";"Liebenscheid";"02664/69502309";"";"";"";"nein";"05.01.1997"
"583";"Frau";"";"Sigrid";"Asam";"";"Unterstraße";"128";"54568";"Gerolstein";"06591/16709931";"0150/8441868";"";"s-asam@inter-mail.none";"";"14.07.1978"
"584";"Frau";"";"Edwine";"Zentgraf";"18.12.1916";"Driesch";"20";"55278";"Eimsheim";"06249/64621270";"0158/5716907";"";"edwine-zentgraf@goggle-mail.none";"";"11.07.1976"
"585";"Frau";"";"Annedörte";"Harter";"11.09.1906";"Alter Schulweg";"128";"73540";"Heubach";"";"0171/1173525";"";"a1906@xyz.none";"ja";"10.04.2017"
"586";"Frau";"";"Waltrudis";"Pöschl";"";"Heinrich-Hertz-Straße";"159";"06844";"Waldersee";"";"0169/9410098";"";"";"";"22.01.2021"
"587";"Frau";"";"Barbi";"Duman";"";"Salmstraße";"3";"24568";"Nützen";"04191/70215937";"0170/5606541";"";"barbi.duman@spam-mail.none";"";"13.05.2015"
"588";"Frau";"";"Juliane";"Novak";"17.07.1964";"Hahnewallstraße";"140";"31789";"Hameln";"05151/89535850";"";"";"julianenovak@open-mail.none";"";"21.05.1969"
"589";"Herr";"";"Rainer";"Hellmuth";"";"Zur Linde";"8";"79595";"Rümmingen";"07621/58429955";"0164/7060563";"";"r1994@mymail.none";"";"24.11.2015"
"590";"Herr";"";"Darius";"Wortmann";"";"Damiansweg";"40";"49685";"Garthe";"04473/88846995";"";"";"darius_wortmann@inter-mail.none";"";"08.07.1994"
"591";"Frau";"";"Annegret";"Teschner";"22.12.2009";"Droste-Hülshoff-Weg";"83";"79639";"Grenzach-Wyhlen";"07624/33487988";"0178/8347018";"";"ateschner@company.none";"";"23.03.2012"
"592";"Frau";"";"Celine";"Wichmann";"";"Ostendstraße";"184";"67586";"Hillesheim";"";"";"";"celinewichmann@validmail.none";"";"13.06.2019"
"593";"Frau";"";"Liebgunde";"Hoffman";"";"Invalidensiedlung";"100";"45549";"Sprockhövel";"02339/11075701";"0160/5491440";"";"liebgundehoffman@retromail.none";"ja";"24.01.1943"
"594";"Herr";"";"Albert";"Schorn";"21.02.2000";"Werother Weg";"105";"25715";"Eddelak";"";"0173/7410217";"";"a_2000@retromail.none";"ja";"15.06.2022"
"595";"Frau";"";"Gotlind";"Wegele";"";"Gemener Diek";"188";"53113";"Bonn";"0228/7535221";"0159/2427903";"";"gotlind_wegele@funmail.none";"";"08.01.2023"
"596";"Herr";"";"Fridulf";"Lessmann";"";"Silscheder Straße";"41";"94344";"Wiesenfelden";"09966/10207832";"0152/4831037";"";"fridulf-1992@private.none";"";"23.09.2005"
"597";"Herr";"";"Gordian";"Kopplin";"";"Junker-Schilling-Straße";"22";"56648";"Saffig";"02625/28672733";"0175/6594568";"";"gordian-kopplin@private.none";"ja";"15.07.1927"
"598";"Herr";"";"Udo";"Wessely";"28.11.1919";"Patterner Ring";"159";"57632";"Seifen";"";"";"";"udo-wessely@funmail.none";"ja";"12.11.1974"
"599";"Herr";"";"Justin";"Weller";"11.04.1924";"Markt";"193";"37216";"Witzenhausen";"05542/70409978";"";"";"justin_weller@xyz.none";"ja";"23.08.2000"
"600";"Frau";"";"Hildtraud";"Böger";"";"Nierenberger Straße";"156";"63925";"Laudenbach";"09371/99718559";"0169/7004041";"";"hildtraud_boeger@hoster.none";"nein";"08.10.2022"
"601";"Frau";"";"Kriemhild";"Aust";"21.08.2011";"Hüttenbergstraße";"17";"82491";"Grainau";"08821/55817694";"0167/8898444";"";"kriemhildaust@retromail.none";"nein";"22.10.2013"
"602";"Frau";"";"Beate";"Byrd";"";"Hillscheider Weg";"63";"54689";"Reipeldingen";"06550/28546707";"0157/5745912";"";"b.byrd@funmail.none";"";"21.11.2022"
"603";"Herr";"";"Wulf";"Ertelt";"";"Tannenhof";"46";"89134";"Blaustein";"";"0157/6322890";"";"wertelt@web.none";"nein";"25.08.2007"
"604";"k.A.";"";"Ria";"Eberhart";"04.12.1932";"Keltenring";"96";"86922";"Sankt Ottilien";"08193/78096207";"0150/2924314";"";"r-eberhart@funmail.none";"";"02.12.2012"
"605";"Frau";"";"Wintrud";"Polz";"16.05.1961";"Ostenbergstraße";"58";"96117";"Memmelsdorf";"0951/21576266";"0168/6692788";"";"wintrud_polz@spam-mail.none";"";"06.02.1968"
"606";"Frau";"";"Senta";"Stehle";"";"Steinhausenstraße";"30";"26759";"Hinte";"04925/36587410";"0150/8293969";"";"senta-stehle@web.none";"";"15.09.1926"
"607";"Herr";"";"Eginhardt";"Korte";"";"Hauffstraße";"94";"55767";"Leisel";"06782/79771899";"0151/8070103";"";"";"";"14.03.1987"
